(46Ca)(19F),[46Ca][19F],InChI=1S/Ca.FH/h;1H/q+1;/p-1/i1+6;1+0,PMJVACMPRFHIPZ-RVTVJBNJSA-M,64.95209582,1.07855493E-25,10.5281/zenodo.5716969
(48Ca)(19F),[48Ca][19F],InChI=1S/Ca.FH/h;1H/q+1;/p-1/i1+8;1+0,PMJVACMPRFHIPZ-GAASCSJYSA-M,66.95093722,1.11174647E-25,10.5281/zenodo.5716971
(40Ca)(1H),[40Ca][1H],InChI=1S/Ca.H/i2*1+0,PKHCKQOIOXDRJH-MHGBRSHDSA-N,40.97041601,6.80329765E-26,10.1093/mnras/stac371
(40Ca)(16O),[40Ca][16O],InChI=1S/Ca.O/i2*1+0,ODINCKMPIJJUCX-MHGBRSHDSA-N,55.9575056,9.29196242E-26,10.5281/zenodo.5716731
(40Ca)(16O)(1H),[40Ca][16O][1H],InChI=1S/Ca.H2O/h;1H2/q+1;/p-1/i2*1+0/hH,KIZFHUJKFSNWKO-RTTLHEKESA-M,56.96533063,9.45931571E-26,10.1093/mnras/stac2462
(12C)(1H),[12C][1H],InChI=1S/CH/h1H/i1+0H,VRLIPUYDFBXWCH-HXFQMGJMSA-N,13.00782503,2.16000017E-26,10.5281/zenodo.5716692
(13C)(1H),[13C][1H],InChI=1S/CH/h1H/i1+1H,VRLIPUYDFBXWCH-YPBGMLPISA-N,14.01117987,2.32661116E-26,10.5281/zenodo.5716694
(12C)(1H)3,[CH3],InChI=1S/CH3/h1H3,WCYWZMWISLQXQU-UHFFFAOYSA-N,15.0234751,2.49470673E-26,10.5281/zenodo.5716848
(12C)(1H)3(35Cl),C-Cl,InChI=1S/CH3Cl/c1-2/h1H3,NEHMKBQYUWJMIP-UHFFFAOYSA-N,49.99232778,8.30142134E-26,10.5281/zenodo.5716852
(12C)(1H)3(37Cl),C-[37Cl],InChI=1S/CH3Cl/c1-2/h1H3/i2+2,NEHMKBQYUWJMIP-HQMMCQRPSA-N,51.98937769,8.63303928E-26,10.5281/zenodo.5716856
(12C)(1H)3(19F),C-[19F],InChI=1S/CH3F/c1-2/h1H3/i2+0,NBVXSUQYWXRMNV-ULIRUUBJSA-N,34.02187832,5.64946581E-26,10.5281/zenodo.5716860
(12C)(1H)4,C,InChI=1S/CH4/h1H4,VNWKTOKETHGBQD-UHFFFAOYSA-N,16.03130013,2.66206002E-26,10.1093/mnras/stae148
(12C)(1H)+,[CH+],InChI=1S/CH/h1H/q+1,WVVLBIYUCXYYEU-UHFFFAOYSA-N,13.00727645,2.15990907E-26,10.1093/mnras/stad3909
(13C)(1H)+,[13CH+],InChI=1S/CH/h1H/q+1/i1+1,WVVLBIYUCXYYEU-OUBTZVSYSA-N,14.01063129,2.32652006E-26,10.1093/mnras/stad3909
cis-(31P)2(1H)2,[H]\[31P]=[31P]/[H],"InChI=1S/H2P2/c1-2/h1-2H/i1+0,2+0",SWJAOBXRZSMKNS-ZCWHFVSRSA-N,63.96317332,1.06213348E-25,10.5281/zenodo.5716888
(12C)(14N),[12C]#[14N],"InChI=1S/CN/c1-2/i1+0,2+0",JEVCWSUVFOYBFI-ZCWHFVSRSA-N,26.003074,4.31791203E-26,10.3847/1538-4365/ad8b40
(12C)(15N),[12C]#[15N],"InChI=1S/CN/c1-2/i1+0,2+1",JEVCWSUVFOYBFI-DZEMCFCNSA-N,27.0001089,4.48347357E-26,10.3847/1538-4365/ad8b40
(13C)(14N),[13C]#[14N],"InChI=1S/CN/c1-2/i1+1,2+0",JEVCWSUVFOYBFI-CRWWGTSDSA-N,27.00642884,4.48452302E-26,10.3847/1538-4365/ad8b40
(13C)(15N),[13C]#[15N],"InChI=1S/CN/c1-2/i1+1,2+1",JEVCWSUVFOYBFI-ZDOIIHCHSA-N,28.00346374,4.65008456E-26,10.3847/1538-4365/ad8b40
(12C)(16O),[12C-]#[16O+],"InChI=1S/CO/c1-2/i1+0,2+0",UGFAIRIUMAVXCW-ZCWHFVSRSA-N,27.99491462,4.64866495E-26,10.5281/zenodo.5716770
(12C)(17O),[12C-]#[17O+],"InChI=1S/CO/c1-2/i1+0,2+1",UGFAIRIUMAVXCW-DZEMCFCNSA-N,28.9991317,4.81541912E-26,10.5281/zenodo.5722864
(12C)(18O),[12C-]#[18O+],"InChI=1S/CO/c1-2/i1+0,2+2",UGFAIRIUMAVXCW-FNPQUGRCSA-N,29.999161,4.98147789E-26,10.5281/zenodo.5716774
(13C)(16O),[13C-]#[16O+],"InChI=1S/CO/c1-2/i1+1,2+0",UGFAIRIUMAVXCW-CRWWGTSDSA-N,28.99826946,4.81527594E-26,10.5281/zenodo.5716776
(13C)(17O),[13C-]#[17O+],"InChI=1S/CO/c1-2/i1+1,2+1",UGFAIRIUMAVXCW-ZDOIIHCHSA-N,30.00248654,4.98203011E-26,10.5281/zenodo.5716778
(13C)(18O),[13C-]#[18O+],"InChI=1S/CO/c1-2/i1+1,2+2",UGFAIRIUMAVXCW-RGIGPVFXSA-N,31.00251584,5.14808888E-26,10.5281/zenodo.5716780
(12C)(16O)2,O=C=O,InChI=1S/CO2/c2-1-3,CURLTUGMZLYLDI-UHFFFAOYSA-N,43.98982924,7.30468301E-26,10.5281/zenodo.5716786
(12C)(16O)+,[C]#[O+],InChI=1S/CO/c1-2/q+1,BOJPITGAFFYFJK-UHFFFAOYSA-N,27.99436604,4.64857385E-26,None
(12C)(16O)+,[C]#[O+],InChI=1S/CO/c1-2/q+1,BOJPITGAFFYFJK-UHFFFAOYSA-N,27.99436604,4.64857385E-26,None
(12C)(31P),[12C]#[31P],"InChI=1S/CP/c1-2/i1+0,2+0",GDPLAAHPHNAIGW-ZCWHFVSRSA-N,42.97376163,7.13596101E-26,10.5281/zenodo.5716942
(52Cr)(1H),[52Cr][1H],InChI=1S/Cr.H/i2*1+0,SEGIELJIHJYODU-MHGBRSHDSA-N,52.94833253,8.79227748E-26,10.5281/zenodo.5362927
(12C)(32S),[12C-]#[32S+],"InChI=1S/CS/c1-2/i1+0,2+0",DXHPZXWIPWDXHJ-ZCWHFVSRSA-N,43.972071,7.30173418E-26,10.5281/zenodo.5716944
(12C)(33S),[12C-]#[33S+],"InChI=1S/CS/c1-2/i1+0,2+1",DXHPZXWIPWDXHJ-DZEMCFCNSA-N,44.97145876,7.46768643E-26,10.5281/zenodo.5716946
(12C)(34S),[12C-]#[34S-],"InChI=1S/CS/c1-2/q-2/i1+0,2+2",YMMCOVNCWDLXSA-FNPQUGRCSA-N,45.96896406,7.63332608E-26,10.5281/zenodo.5716948
(12C)(36S),[12C-]#[36S+],"InChI=1S/CS/c1-2/i1+0,2+4",DXHPZXWIPWDXHJ-NYQHGNFPSA-N,47.96708076,7.96512116E-26,10.5281/zenodo.5716950
(13C)(32S),[13C-]#[32S+],"InChI=1S/CS/c1-2/i1+1,2+0",DXHPZXWIPWDXHJ-CRWWGTSDSA-N,44.97542584,7.46834517E-26,10.5281/zenodo.5716952
(13C)(33S),[13C-]#[33S+],"InChI=1S/CS/c1-2/i1+1,2+1",DXHPZXWIPWDXHJ-ZDOIIHCHSA-N,45.9748136,7.63429742E-26,10.5281/zenodo.5716954
(13C)(34S),[13C-]#[34S+],"InChI=1S/CS/c1-2/i1+1,2+2",DXHPZXWIPWDXHJ-RGIGPVFXSA-N,46.97122174,7.79975488E-26,10.5281/zenodo.5716956
(13C)(36S),[13C-]#[36S+],"InChI=1S/CS/c1-2/i1+1,2+4",DXHPZXWIPWDXHJ-JOTDZXCOSA-N,48.9704356,8.13173215E-26,10.5281/zenodo.5716958
(56Fe)(1H),[56Fe][1H],InChI=1S/Fe.H/i2*1+0,VWDRTGQNZKYVEZ-MHGBRSHDSA-N,56.94276253,9.45556819E-26,10.5281/zenodo.5362929
(1H)(2H),[1H][2H],InChI=1S/H2/h1H/i1+1H,UFHFLCQGNIYNRP-YPBGMLPISA-N,3.02192681,5.01802753E-27,10.3847/1538-4357/ab1f65
(1H)2,[HH],InChI=1S/H2/h1H,UFHFLCQGNIYNRP-UHFFFAOYSA-N,2.015650064,3.34706568E-27,10.1139/p94-112
(1H)2,[HH],InChI=1S/H2/h1H,UFHFLCQGNIYNRP-UHFFFAOYSA-N,2.015650064,3.34706568E-27,10.1051/0004-6361/201936249
(1H)2(12C)(16O),C=O,InChI=1S/CH2O/c1-2/h1H2,WSFSSNUMVMOOMR-UHFFFAOYSA-N,30.01056468,4.98337151E-26,10.5281/zenodo.5716868
(1H)2(12C)(32S),C=S,InChI=1S/CH2S/c1-2/h1H2,DBTDEFJAFBUGPP-UHFFFAOYSA-N,45.98772106,7.63644075E-26,10.1093/mnras/stad111
(1H)(2H)(16O),O[2H],InChI=1S/H2O/h1H2/i/hD,XLYOFNOQVPJJNP-DYCDLGHISA-N,19.01684143,3.15782082E-26,10.5281/zenodo.5716812
(1H)2(15O),[15OH2],InChI=1S/H2O/h1H2/i1-1,XLYOFNOQVPJJNP-BJUDXGSMSA-N,17.01871566,2.82602423E-26,10.1016/j.saa.2024.124007
(1H)2(16O),O,InChI=1S/H2O/h1H2,XLYOFNOQVPJJNP-UHFFFAOYSA-N,18.01056468,2.99072463E-26,10.1093/mnras/sty1877
