iso_formula,iso_slug,inchi,inchikey,mass_in_Da,name,version,doi,max_temperature,num_pressure_broadeners,nxsec_files,nkcoeff_files,dipole_available,cooling_function_available,specific_heat_available,continuum,hyperfine_resolved_dataset
(12C)2(1H)4,12C2-1H4,InChI=1S/C2H4/c1-2/h1-2H2,VGGSQFUCUMXWEO-UHFFFAOYSA-N,28.03130013,MaYTY,20250807,10.5281/zenodo.5716846,700.0,0,0,0,True,False,True,False,False
(12C)(12C)(13C),12C-12C-13C,"InChI=1S/C3/c1-3-2/i1+0,2+1,3+0",NVLRFXKSQQPKAD-LRGBUXLWSA-N,37.00335484,AtLast,20241023,10.1093/mnras/stae2425,5000.0,0,0,0,False,False,False,False,False
(12C)(13C)(12C),12C-13C-12C,"InChI=1S/C3/c1-3-2/i1+0,2+0,3+1",NVLRFXKSQQPKAD-ZAIVOFEBSA-N,37.00335484,AtLast,20241023,10.1093/mnras/stae2425,5000.0,0,0,0,False,False,False,False,False
(12C)3,12C3,"InChI=1S/C3/c1-3-2/i1+0,2+0,3+0",NVLRFXKSQQPKAD-SXRZRGFPSA-N,36.0,AtLast,20241023,10.1093/mnras/stae2425,5000.0,0,0,0,False,False,False,False,False
(40Ca)(35Cl),40Ca-35Cl,InChI=1S/Ca.ClH/h;1H/q+1;/p-1/i2*1+0,WGPMOVAPQPJDDK-MHGBRSHDSA-M,74.93144366,MoLLIST-CaCl,20240720,10.3847/1538-4357/ad499e,5000.0,0,0,0,False,False,False,False,False
(40Ca)(37Cl),40Ca-37Cl,InChI=1S/Ca.ClH/h;1H/q+1;/p-1/i1+0;1+2,WGPMOVAPQPJDDK-WMSMEIEASA-M,76.92849357,MoLLIST-CaCl,20240720,10.3847/1538-4357/ad499e,5000.0,0,0,0,False,False,False,False,False
(40Ca)(19F),40Ca-19F,InChI=1S/Ca.FH/h;1H/q+1;/p-1/i2*1+0,PMJVACMPRFHIPZ-MHGBRSHDSA-M,58.9609942,MoLLIST,20180713,10.5281/zenodo.5716960,5000.0,0,0,0,False,False,False,False,False
(42Ca)(19F),42Ca-19F,InChI=1S/Ca.FH/h;1H/q+1;/p-1/i1+2;1+0,PMJVACMPRFHIPZ-OJTQQMQBSA-M,60.95702123,MoLLIST,20180713,10.5281/zenodo.5716963,5000.0,0,0,0,False,False,False,False,False
(43Ca)(19F),43Ca-19F,InChI=1S/Ca.FH/h;1H/q+1;/p-1/i1+3;1+0,PMJVACMPRFHIPZ-NECLEZFQSA-M,61.95716982,MoLLIST,20180713,10.5281/zenodo.5716965,5000.0,0,0,0,False,False,False,False,False
(44Ca)(19F),44Ca-19F,InChI=1S/Ca.FH/h;1H/q+1;/p-1/i1+4;1+0,PMJVACMPRFHIPZ-LUHXRMDYSA-M,62.95388502,MoLLIST,20180713,10.5281/zenodo.5716967,5000.0,0,0,0,False,False,False,False,False
(46Ca)(19F),46Ca-19F,InChI=1S/Ca.FH/h;1H/q+1;/p-1/i1+6;1+0,PMJVACMPRFHIPZ-RVTVJBNJSA-M,64.95209582,MoLLIST,20180713,10.5281/zenodo.5716969,5000.0,0,0,0,False,False,False,False,False
(48Ca)(19F),48Ca-19F,InChI=1S/Ca.FH/h;1H/q+1;/p-1/i1+8;1+0,PMJVACMPRFHIPZ-GAASCSJYSA-M,66.95093722,MoLLIST,20180713,10.5281/zenodo.5716971,5000.0,0,0,0,False,False,False,False,False
(40Ca)(1H),40Ca-1H,InChI=1S/Ca.H/i2*1+0,PKHCKQOIOXDRJH-MHGBRSHDSA-N,40.97041601,XAB,20220211,10.1093/mnras/stac371,5000.0,0,0,0,False,False,True,False,False
(40Ca)(16O),40Ca-16O,InChI=1S/Ca.O/i2*1+0,ODINCKMPIJJUCX-MHGBRSHDSA-N,55.9575056,VBATHY,20230220,10.5281/zenodo.5716731,8000.0,0,0,0,False,False,True,False,False
